region,power_station,monitored_capacity_MW,planned_maintanence_MW,forced_maintanence_MW,other_reasons_MW,gen_dt_program,gen_dt_actual,gen_dt_excess_shortfall,gen_dt_deviation
Northern,Delhi,2100.4,0.0,250.0,430.0,16.31,11.64,-4.67,-28.63
Northern,Haryana,2510.0,250.0,1360.0,0.0,29.48,13.9,-15.58,-52.85
Northern,Himachal Pradesh,777.0,0.0,0.0,115.0,7.01,7.09,0.08,1.14
Northern,Jammu and Kashmir,1285.0,0.0,0.0,360.0,9.57,13.01,3.44,35.95
Northern,Punjab,2701.0,33.5,1760.0,0.0,24.16,13.16,-11.0,-45.53
Northern,Rajasthan,8184.8,695.0,2039.0,480.0,99.57,82.81,-16.76,-16.83
Northern,Uttarakhand,1252.15,150.0,96.0,228.25,13.16,14.77,1.61,12.23
Northern,Uttar Pradesh,5970.6,514.0,889.0,0.0,92.22,90.61,-1.61,-1.75
Northern,ADHPL,192.0,0.0,0.0,0.0,1.23,1.32,0.09,7.32
Northern,AHPC (GVK),330.0,0.0,0.0,0.0,3.39,4.96,1.57,46.31
Northern,APCPL,1500.0,0.0,500.0,0.0,10.78,13.25,2.47,22.91
Northern,APL,1320.0,0.0,0.0,0.0,20.26,25.99,5.73,28.28
Northern,BBMB,2920.3,273.0,0.0,231.0,23.32,40.47,17.15,73.54
Northern,BEPL,450.0,0.0,0.0,0.0,2.4,7.98,5.58,232.5
Northern,BIPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,DAE,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northern,E.P.P.L.,100.0,0.0,0.0,0.0,0.65,1.11,0.46,70.77
Northern,GBHPPL,70.0,0.0,0.0,0.0,0.39,0.71,0.32,82.05
Northern,GIPL,225.0,0.0,0.0,0.0,1.0,0.0,-1.0,-100.0
Northern,GMR BHHPL,0.0,0.0,0.0,0.0,0.45,0.0,-0.45,-100.0
Northern,GPGSL (GVK),540.0,0.0,0.0,0.0,6.84,10.36,3.52,51.46
Northern,HBPCL,1300.0,0.0,0.0,0.0,7.55,14.91,7.36,97.48
Northern,HSPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,IAEPL,36.0,0.0,0.0,0.0,0.32,0.34,0.02,6.25
Northern,JhPL(HR),1320.0,0.0,0.0,0.0,18.42,25.16,6.74,36.59
Northern,JPPVL,400.0,0.0,0.0,0.0,3.81,7.73,3.92,102.89
Northern,LAPPL,1200.0,0.0,0.0,0.0,10.42,26.18,15.76,151.25
Northern,LPGCL,1980.0,0.0,0.0,0.0,26.06,37.64,11.58,44.44
Northern,L&T,0.0,0.0,0.0,0.0,0.29,0.0,-0.29,-100.0
Northern,MPCL,86.0,0.0,0.0,0.0,0.65,0.88,0.23,35.38
Northern,MUNPL,660.0,0.0,0.0,0.0,15.55,13.26,-2.29,-14.73
Northern,NHPC,4484.2,440.0,0.0,267.0,42.95,47.58,4.63,10.78
Northern,NLC,250.0,0.0,0.0,0.0,4.64,5.57,0.93,20.04
Northern,NPCIL,1520.0,0.0,200.0,0.0,26.24,30.04,3.8,14.48
Northern,NPL,1400.0,0.0,0.0,0.0,23.97,32.71,8.74,36.46
Northern,NTPC Ltd.,12614.06,910.0,2908.17,109.3,135.52,159.49,23.97,17.69
Northern,NTPGPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern,PPGCL (Jaypee),1980.0,0.0,660.0,0.0,23.84,23.42,-0.42,-1.76
Northern,RPSCL,1200.0,0.0,0.0,0.0,17.88,23.93,6.05,33.84
Northern,RWPL (JSW),1080.0,0.0,135.0,0.0,17.29,21.25,3.96,22.9
Northern,SJVNL,1912.02,0.0,0.0,750.0,19.32,25.42,6.1,31.57
Northern,SrEPL,225.0,0.0,0.0,0.0,2.0,0.0,-2.0,-100.0
Northern,THDC,1400.0,0.0,0.0,0.0,9.29,9.28,-0.01,-0.11
Northern,TPDDL,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0
Northern,TSPL,1980.0,0.0,1320.0,0.0,30.93,13.47,-17.46,-56.45
Northern,Total,69663.53,3265.5,12217.17,3078.55,799.13,871.4,72.27,9.04
Western,Chhatisgarh,3200.0,0.0,210.0,0.0,47.27,54.85,7.58,16.04
Western,Gujarat,9717.82,0.0,2493.72,532.0,85.79,132.08,46.29,53.96
Western,Madhya Pradesh,6115.0,675.0,2910.0,285.0,79.08,35.25,-43.83,-55.42
Western,Maharashtra,12988.0,250.0,2635.0,318.0,147.75,143.66,-4.09,-2.77
Western,ACB,325.0,0.0,160.0,0.0,4.99,3.86,-1.13,-22.65
Western,ACPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,AEML,500.0,0.0,0.0,0.0,11.42,9.27,-2.15,-18.83
Western,AMNEPL,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0
Western,APL,7920.0,0.0,660.0,0.0,128.6,151.98,23.38,18.18
Western,BALCO,600.0,0.0,0.0,0.0,7.58,12.6,5.02,66.23
Western,BLAPPL,90.0,0.0,45.0,0.0,0.65,0.54,-0.11,-16.92
Western,CGPL,4000.0,0.0,0.0,0.0,70.26,92.04,21.78,31.0
Western,CLPINDIA,655.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0
Western,DBPCL,1200.0,0.0,0.0,0.0,16.96,23.25,6.29,37.09
Western,DIPL,600.0,0.0,0.0,0.0,6.0,11.87,5.87,97.83
Western,DLHP,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,EPGL,1200.0,0.0,1200.0,0.0,8.97,0.0,-8.97,-100.0
Western,ESSAR,515.0,0.0,295.0,220.0,0.0,0.0,0.0,0.0
Western,ESSARPMPL,1200.0,0.0,600.0,0.0,12.9,9.89,-3.01,-23.33
Western,GCEL,1370.0,0.0,0.0,0.0,10.42,27.77,17.35,166.51
Western,GEPL,120.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
Western,GIPCL,660.0,125.0,0.0,285.0,9.47,6.81,-2.66,-28.09
Western,GMR ENERG,600.0,0.0,0.0,0.0,10.52,11.99,1.47,13.97
Western,IEPL,270.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0
Western,JHAPL,600.0,0.0,0.0,0.0,7.94,7.82,-0.12,-1.51
Western,JPL,3400.0,0.0,1700.0,0.0,23.26,35.47,12.21,52.49
Western,JPPVL,1820.0,0.0,250.0,0.0,18.61,30.44,11.83,63.57
Western,JSWEL,1200.0,0.0,0.0,0.0,19.9,22.26,2.36,11.86
Western,LANCO,600.0,0.0,0.0,0.0,9.22,12.4,3.18,34.49
Western,LVTPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,MBPMPL,1200.0,0.0,0.0,0.0,18.45,14.1,-4.35,-23.58
Western,MCCPL,300.0,0.0,0.0,0.0,5.55,7.19,1.64,29.55
Western,NHDC,1520.0,0.0,0.0,0.0,8.39,35.09,26.7,318.24
Western,NPCIL,1840.0,320.0,540.0,0.0,40.95,23.62,-17.33,-42.32
Western,NSPCL,500.0,0.0,0.0,0.0,9.16,8.75,-0.41,-4.48
Western,NTPC Ltd.,19013.59,660.0,4071.1,0.0,258.94,305.35,46.41,17.92
Western,PGPL,388.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0
Western,RATTANINDIA,1350.0,0.0,1350.0,0.0,10.63,0.0,-10.63,-100.0
Western,REGL,600.0,0.0,600.0,0.0,7.35,0.0,-7.35,-100.0
Western,RELIANCE,48.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0
Western,RGPPL,1967.08,0.0,0.0,1516.54,12.54,6.8,-5.74,-45.77
Western,RKMPPL,1440.0,0.0,720.0,360.0,7.2,8.36,1.16,16.11
Western,SCPL,100.0,0.0,100.0,0.0,1.74,0.0,-1.74,-100.0
Western,SKS,600.0,0.0,0.0,300.0,6.38,4.9,-1.48,-23.2
Western,SMHPCL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western,SPL,3960.0,0.0,0.0,0.0,80.61,96.22,15.61,19.36
Western,SPPL,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0
Western,STPL,1350.0,0.0,1350.0,0.0,0.0,0.0,0.0,0.0
Western,SVPPL,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0
Western,TATA MAH.,447.0,0.0,24.0,0.0,3.98,3.84,-0.14,-3.52
Western,TATA PCL,930.0,0.0,250.0,0.0,15.52,11.77,-3.75,-24.16
Western,TOR. POW. (SUGEN),1147.5,0.0,0.0,0.0,17.55,18.88,1.33,7.58
Western,TOR. POW. (UNOSUGEN),1944.5,0.0,0.0,1200.0,10.77,13.57,2.8,26.0
Western,TRNE,600.0,0.0,300.0,0.0,8.9,5.02,-3.88,-43.6
Western,VESPL,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
Western,VIP,600.0,0.0,600.0,0.0,2.94,0.0,-2.94,-100.0
Western,VVL,135.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0
Western,WPCL,2340.0,0.0,405.0,0.0,22.3,36.99,14.69,65.87
Western,Total,106314.49,2030.0,24487.82,6107.54,1287.41,1436.55,149.14,11.58
Southern,Andhra Pradesh,6855.4,0.0,3080.0,142.8,86.35,59.54,-26.81,-31.05
Southern,Karnataka,8664.2,564.8,3194.6,950.0,78.45,44.01,-34.44,-43.9
Southern,Kerala,2016.46,353.0,258.0,36.0,15.31,27.81,12.5,81.65
Southern,Puducherry,32.5,0.0,0.0,0.0,0.65,0.57,-0.08,-12.31
Southern,Tamil Nadu,7012.28,1224.0,2158.23,365.0,86.36,45.21,-41.15,-47.65
Southern,Telangana,6838.1,0.0,830.0,1039.8,95.76,103.41,7.65,7.99
Southern,ABAN POWR,119.8,0.0,0.0,0.0,1.59,0.0,-1.59,-100.0
Southern,APGPCL,272.0,172.0,0.0,33.0,1.97,1.42,-0.55,-27.92
Southern,BELLARY,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,BSES  AP,220.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0
Southern,BSES(C),174.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0
Southern,CEPL,1200.0,0.0,1200.0,0.0,11.71,0.0,-11.71,-100.0
Southern,GAUTAMI,464.0,0.0,0.0,464.0,0.0,0.0,0.0,0.0
Southern,GMR ENERG,220.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0
Southern,GREL,768.0,0.0,0.0,768.0,0.0,0.0,0.0,0.0
Southern,GVKP&IL,220.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0
Southern,HNPC,1040.0,0.0,1040.0,0.0,6.0,0.0,-6.0,-100.0
Southern,IBPIL,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
Southern,ITPCL,1200.0,0.0,600.0,0.0,17.48,7.55,-9.93,-56.81
Southern,JSWEL,860.0,0.0,130.0,0.0,6.84,8.48,1.64,23.98
Southern,KONA,445.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0
Southern,KONDAPALI,1476.14,0.0,0.0,1226.65,2.13,3.54,1.41,66.2
Southern,LVS POWER,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,MADURAI P,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,MEL,300.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0
Southern,NLC,2990.0,420.0,680.0,0.0,47.47,35.69,-11.78,-24.82
Southern,NPCIL,3320.0,0.0,220.0,0.0,61.83,74.15,12.32,19.93
Southern,NTECL,1500.0,0.0,1500.0,0.0,20.47,6.76,-13.71,-66.98
Southern,NTPC Ltd.,7359.58,700.0,3900.0,359.58,82.79,43.27,-39.52,-47.74
Southern,NTPL,1000.0,0.0,0.0,0.0,7.97,14.35,6.38,80.05
Southern,PENNA,52.8,0.0,0.0,0.0,1.03,0.94,-0.09,-8.74
Southern,PPNPGCL,330.5,0.0,0.0,330.5,0.0,0.0,0.0,0.0
Southern,SAMALPATI,105.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern,SEIL,2640.0,0.0,0.0,0.0,48.35,60.49,12.14,25.11
Southern,SEPL,600.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0
Southern,SPGL,208.0,0.0,0.0,208.0,3.22,0.0,-3.22,-100.0
Southern,ST-CMSECP,250.0,0.0,250.0,0.0,3.48,0.0,-3.48,-100.0
Southern,UPCL,1200.0,0.0,600.0,0.0,11.87,9.92,-1.95,-16.43
Southern,VEMAGIRI,370.0,0.0,0.0,370.0,0.0,0.0,0.0,0.0
Southern,Total,62792.47,3433.8,20840.83,7572.33,699.08,547.11,-151.97,-21.74
Eastern,Andaman & Nicobar Islands,40.05,0.0,0.0,0.0,0.42,0.36,-0.06,-14.29
Eastern,Jharkhand,550.0,0.0,0.0,0.0,6.45,6.85,0.4,6.2
Eastern,Odisha,3882.25,279.0,764.0,0.0,42.48,38.85,-3.63,-8.55
Eastern,Sikkim,1200.0,0.0,0.0,0.0,16.58,25.73,9.15,55.19
Eastern,West Bengal,6356.0,268.0,1269.0,540.0,71.03,74.42,3.39,4.77
Eastern,ADHUNIK,540.0,0.0,0.0,0.0,8.84,9.25,0.41,4.64
Eastern,BRBCL,750.0,0.0,250.0,0.0,11.0,9.08,-1.92,-17.45
Eastern,CESC,1125.0,0.0,375.0,0.0,15.76,17.39,1.63,10.34
Eastern,CPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern,DEPL,96.0,0.0,0.0,0.0,1.71,2.22,0.51,29.82
Eastern,DVC,7103.2,0.0,420.0,833.2,101.69,113.91,12.22,12.02
Eastern,GIPL,110.0,0.0,0.0,0.0,1.81,2.23,0.42,23.2
Eastern,GMR ENERG,1050.0,0.0,0.0,0.0,19.28,21.09,1.81,9.39
Eastern,HEL,600.0,0.0,0.0,0.0,11.13,13.78,2.65,23.81
Eastern,HMEL,300.0,0.0,300.0,0.0,1.48,0.0,-1.48,-100.0
Eastern,IBPIL,350.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
Eastern,ICCL,0.0,0.0,0.0,0.0,0.42,0.8,0.38,90.48
Eastern,JITPL,1200.0,0.0,600.0,0.0,11.68,8.0,-3.68,-31.51
Eastern,K.B.U.N.L,610.0,0.0,415.0,0.0,7.99,2.53,-5.46,-68.34
Eastern,LBPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
